Country,Freq,Longitude,Latitude
"Uttar Pradesh, India",0.8,80.859666,27.1303344
"Bihar, India",2.5,85.906508,25.6440845
"Assam, India",2.8,93.2551303,26.4073841
"Meghalaya, India",2.9,91.2999102,25.5379432
"West Bengal, India",2.7,87.6855882,22.9964948
"Odisha, India",2.3,84.6897321,20.5431241
"Jharkhand, India",6.3,85.2557301,23.4559809
"Madhya Pradesh, India",5.1,79.39486954625225,23.9699282
"Chhattisgarh, India",2.9,81.8406351,21.6637359
"Rajasthan, India",0.8,73.7684549,26.8105777
"Gujarat, India",3.2,71.7452633,22.3850008
"Maharashtra, India",1.5,75.6741579,18.9068356
"Karnataka, India",0.9,75.7223521,14.5203896
"Tamil Nadu, India",4.7,78.3665347,10.9094334
"Kerala, India",2.6,76.5120396,10.3528744
China,2.1,104.999927,35.000074
Nepal,3.5,84.0917139,28.1083929
Ethiopia,8.9,38.6521203,10.2116702
Cape Verde,2.5,-24.0083947,16.0000552
"Kavango, Namibia",3.27,17.708643,-19.2632632
Cameroon,7.9,13.1535811,4.6125522
Italy,1.1,12.674297,42.6384261
Congo,13.0,15.6419155,-0.7264327
Malawi,11.4,33.9301963,-13.2687204
Uganda,11.8,32.2166578,1.5333554
"Kintampo, Ghana",19.0,-1.728919,8.053714
Botswana,1.26,24.5928742,-23.1681782
Egypt,4.3,29.2675469,26.2540493
"Cape Coast, Ghana",12.4,-1.2430793,5.107467
Mali,14.5,-2.2900239,16.3700359
Kenya,11.5,38.4313975,1.4419683
Equatorial Guinea,8.7,10.5170357,1.613172
Gambia,12.0,-15.4900464,13.470062
"Ibadan, Nigeria",12.4,3.8972497,7.3777462
Nigeria,15.3,7.9999721,9.6000359
"Nyanza Province, Kenya",6.8,29.7504906,-2.3524553
